AllGroups	Group	Subject	Version	BlockOrder	Block	PrimeTarget	Trial	List	Decision	CorrResp	Sign	Filename	View	Angle	from0	SignType	Item	PairChange	Difficulty	AngleChange	ACC	ErrorRate	RESP	RT	Priming	PercentFaster	AccChange	EXCLUDERT	EXCLUDEACC	ExclPractice	Excl135Deg	ExclOpposite	ExclItem	ExclSlow	ExclPairExcl	ExclIncorrect	ExclPairIncorr
L2_Fluent	M2L2	S132	V1a_F0_J1	5	Block4	target	65	115	edible	no	HOSE	HOSE_0.avi	1	0	0	2hd	235	90to0	easier	90	1	0	f	2569	642	0.25	0	1	1	0	0	0	1	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	2	Block1	prime	5	101	living	no	HOUSE	HOUSE_0.avi	1	0	0	2hs	101	0to90	harder	90	1	0	f	1738	-869	-0.33	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	4	Block3	target	107	101	living	no	HOUSE	HOUSE_90L.avi	4	90L	90	2hs	101	0to90	harder	90	1	0	f	2607	-869	-0.33	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	2	Block1	prime	8	35	living	yes	HUSBAND	HUSBAND_90L.avi	4	90L	90	2hd	35	90to45	easier	45	1	0	j	3094	645	0.26	0	1	1	0	0	0	0	1	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	4	Block3	target	101	35	living	yes	HUSBAND	HUSBAND_45L.avi	2	45L	45	2hd	35	90to45	easier	45	1	0	j	2449	645	0.26	0	1	1	0	0	0	0	0	1	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	3	Block2	prime	22	30	edible	yes	ICE CREAM	ICE CREAM_0.avi	1	0	0	1h	150	0to45	harder	45	1	0	j	1041	-548	-0.34	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	5	Block4	target	17	30	edible	yes	ICE CREAM	ICE CREAM_45R.avi	3	45R	45	1h	150	0to45	harder	45	1	0	j	1589	-548	-0.34	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	3	Block2	prime	77	72	edible	no	IDEA	IDEA_45R.avi	3	45R	45	1h	192	45to45	same	0	1	0	f	2945	773	0.36	0	1	1	0	0	0	0	1	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	5	Block4	target	40	72	edible	no	IDEA	IDEA_45R.avi	3	45R	45	1h	192	45to45	same	0	1	0	f	2172	773	0.36	0	1	1	0	0	0	0	0	1	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	3	Block2	prime	53	120	edible	no	INFORMATION	INFORMATION_0.avi	1	0	0	2hs	240	0to90	harder	90	1	0	f	2478	762	0.44	0	0	0	0	0	0	0	0	0	0	0
